"longitude","latitude","Al","Ca","Fe","K","Mg","Na","Ti","Be","Ce","Co","Cr","Cu","Ga","La","Li","Mo","Nb","Ni","Rb","Sc","Sn","Th","Tl","U","V","W","Y"
-106.88706,40.56693,0.642,0.193,0.454,0.19,0.126,0.151,0.039,1.7,66.8,16.2,56,27.3,16,32.1,31,1.03,10.9,24.4,73.3,16.8,2.3,8.8,0.5,2.4,111,0.9,29.6
-106.21882,40.50568,0.656,0.079,0.204,0.305,0.035,0.145,0.02,1.6,107,7.5,26,17.4,14.2,50.7,21,1.02,14.7,10.2,145,5.8,1.7,20.3,0.9,4,48,0.9,12.4
-106.06406,40.56786,0.642,0.079,0.249,0.225,0.058,0.107,0.027,1.9,80.5,8.9,39,15.3,15.2,40.4,30,1.07,15.6,19.2,127,8.6,2.3,13.5,0.8,3.4,62,1.1,16.4
-104.86971,40.56643,0.403,0.119,0.142,0.193,0.049,0.071,0.012,1,53,4.3,21,9.3,8.96,26.6,15,0.6,5.6,8.5,69.8,3.9,1,7.1,0.4,2.1,40,0.6,10.1
-104.16,40.56777,0.468,0.082,0.103,0.246,0.023,0.115,0.012,1.4,46.4,3.2,16,5.4,9.73,25.6,10,0.4,7,5.5,89.5,3.3,0.8,7.4,0.5,1.6,28,0.5,12
-103.66681,40.55138,0.516,0.166,0.12,0.272,0.034,0.148,0.012,1.6,50.9,3.3,14,6,12.3,29,13,0.37,7.4,6,102,4,0.8,8.6,0.7,1.6,32,0.5,13.9
-103.54337,40.55318,0.545,0.069,0.094,0.263,0.019,0.136,0.008,1.3,44.4,2.4,12,3.7,10.6,25,8,0.23,6,4.4,107,2.4,0.7,7.3,0.7,1.4,21,0.3,9.9
-103.29036,40.59345,0.609,0.089,0.201,0.238,0.07,0.085,0.02,1.6,67,6.2,30,15.7,13.2,35,23,0.78,10.4,12,94.6,6.9,1.6,11,0.7,2.9,59,1,16.5
-103.14285,40.54235,0.48,0.061,0.061,0.249,0.014,0.116,0.007,1.2,43.2,1.9,15,3.5,8.9,24.6,6,0.33,4.6,3.4,98.7,2,0.6,8.6,0.6,1.5,15,0.3,8.3
-102.23254,40.52721,0.443,0.054,0.055,0.321,0.013,0.139,0.006,1.4,37.4,1.6,9,4.3,10.3,22.2,8,0.26,17.4,3.7,118,1.6,0.5,6.9,0.6,1.1,15,0.4,11.3
-108.96812,40.35842,0.372,0.352,0.161,0.175,0.082,0.033,0.016,1.3,48.2,6.1,38,14.8,9.07,26.5,24,0.78,5,15.3,72.3,5.8,0.9,7.4,0.4,1.8,49,0.8,17.2
-108.25848,40.47092,0.322,0.064,0.057,0.157,0.016,0.083,0.008,1,36.1,2.1,11,7.2,7.41,20.3,9,0.3,4.1,3.6,57.7,2.2,0.5,5,0.3,1.3,17,0.4,7.7
-108.06593,40.4952,0.516,0.151,0.094,0.179,0.039,0.124,0.014,1.2,47.4,3.1,20,7.9,10.6,26,17,0.41,5.3,6.7,72.9,3.6,0.8,7.4,0.4,1.5,35,0.4,9.7
-108.01041,40.50036,0.451,0.092,0.108,0.227,0.023,0.107,0.013,1.2,52.1,3.3,13,8.4,9.59,29,12,0.6,5.9,6.5,89.8,3.1,0.9,9,0.5,1.9,28,0.4,9.6
-107.60476,40.48624,0.474,0.351,0.221,0.191,0.07,0.079,0.019,1.3,63.2,7.7,47,15.2,11.1,32.9,21,0.86,7.5,17.7,77.9,7.1,1.1,9.3,0.5,1.9,64,0.9,15.9
-107.55615,40.49135,0.555,0.248,0.215,0.188,0.086,0.079,0.018,1.7,69.3,9.4,39,14.8,13,35.8,24,1.21,8.4,18.6,92.7,8,1.5,11.6,0.6,2.6,61,0.7,17.6
-106.5818,40.5601,0.634,0.046,0.147,0.318,0.029,0.141,0.016,1.5,40.2,8,28,13.2,13,20.7,23,1.09,6.6,12.9,142,5.4,1.2,10.2,0.8,2.9,40,0.7,9.4
-105.1152,40.52376,0.658,0.354,0.374,0.199,0.101,0.077,0.026,1.6,53.9,10.1,70,78.6,15,28.9,35,3.52,8.2,37.6,97.9,10.4,46.1,10.7,0.8,3.2,125,1.1,15.4
-104.54601,40.51548,0.647,0.081,0.225,0.245,0.061,0.076,0.021,2,59.6,7.5,36,15.9,14.2,33.1,26,0.95,9.5,15.9,103,7.7,1.6,11.3,0.7,3.1,68,1.1,19.4
-103.40891,40.50111,0.473,0.071,0.098,0.298,0.016,0.129,0.009,1.2,49.4,2.2,75,4.2,10.6,25.5,7,1.78,6.5,9.6,103,2.3,0.8,7.9,0.6,1.3,23,0.5,9.7
-102.97894,40.49638,0.535,0.077,0.123,0.281,0.031,0.129,0.014,1.7,63.4,4.2,26,8,13.1,32.6,13,0.64,7.5,12.9,124,4.5,1,11.4,0.7,2.2,33,0.7,14.3
-108.99791,40.40586,0.317,0.06,0.13,0.166,0.038,0.039,0.013,0.9,37.2,4.5,28,13.3,7.37,19,23,0.85,4.7,10.9,58.3,4.2,0.7,5.6,0.4,1.4,37,0.5,10.8
-108.41158,40.45364,0.547,0.23,0.21,0.216,0.147,0.046,0.019,1.7,54.8,6.6,52,16.2,12.4,29.5,37,1.3,8.2,23.8,98.2,7,1.6,9.8,0.6,2.7,89,1,15
